813.922 N N48 7
814.797 N N48 7
815.66 N N48 7
816.547 N N48 7
817.426 N N48 7
818.305 N N48 7
819.164 N N48 7
819.941 N N36 8
820.77 N N48 7
821.586 N N48 7
822.41 N N48 7
823.266 N N48 7
824.125 N N48 7
824.984 N N48 7
825.859 N N48 7
826.738 N N48 7
827.625 N N48 7
828.449 N N36 8
829.297 N N48 7
830.117 N N48 7
830.918 N N48 7
831.723 N N48 7
832.523 N N48 7
833.344 N N48 7
834.18 N N48 7
835.027 N N48 7
835.879 N N48 7
836.723 N N48 7
837.563 N N48 7
838.391 N N48 7
839.191 N N48 7
840 N N48 7
840.813 N N48 7
841.582 N N36 8
842.383 N N36 8
843.176 N N48 7
843.949 N N36 8
844.684 N N36 8
845.398 N N36 8
846.172 N N48 7
846.93 N N48 7
847.719 N N48 7
848.504 N N36 8
849.273 N N48 7
850.07 N N48 7
850.875 N N48 7
851.648 N N36 8
852.441 N N48 7
853.23 N N48 7
854.031 N N48 7
854.824 N N48 7
855.629 N N48 7
856.441 N N48 7
857.262 N N48 7
858.059 N N48 7
858.883 N N48 7
859.715 N N48 7
860.5 N N36 8
861.316 N N48 7
862.141 N N48 7
862.965 N N48 7
863.793 N N36 8
864.621 N N48 7
865.453 N N48 7
866.258 N N48 7
867.082 N N48 7
867.895 N N36 8
868.715 N N48 7
869.5 N N48 7
870.309 N N48 7
871.125 N N48 7
871.934 N N48 7
872.707 N N48 7
873.523 N N48 7
874.34 N N48 7
875.18 N N48 7
876.02 N N48 7
876.859 N N36 8
877.68 N N48 7
878.512 N N48 7
879.352 N N48 7
880.16 N N36 8
880.977 N N48 7
881.785 N N48 7
882.586 N N48 7
883.395 N N48 7
884.223 N N48 7
885.07 N N48 7
885.906 N N36 8
886.758 N N48 7
887.594 N N48 7
888.434 N N48 7
889.277 N N36 8
890.113 N N48 7
890.953 N N48 7
891.789 N N48 7
892.59 N N36 8
893.414 N N48 7
894.227 N N48 7
895.008 N N36 8
895.809 N N48 7
896.602 N N48 7
897.359 N N36 8
898.16 N N48 7
898.961 N N48 7
899.773 N N48 7
900.574 N N36 8
901.398 N N48 7
902.211 N N48 7
903.02 N N48 7
903.813 N N48 7
904.59 N N48 7
905.359 N N48 7
906.156 N N48 7
906.957 N N36 8
907.766 N N48 7
908.598 N N48 7
909.387 N N36 8
910.188 N N48 7
911 N N48 7
911.82 N N48 7
912.66 N N48 7
913.504 N N48 7
914.324 N N36 8
915.156 N N48 7
915.996 N N48 7
916.824 N N48 7
917.656 N N48 7
918.465 N N48 7
919.305 N N48 7
920.172 N N48 7
921.035 N N48 7
921.859 N N48 7
922.73 N N48 7
923.598 N N48 7
924.461 N N48 7
925.336 N N48 7
926.219 N N48 7
927.105 N N48 7
927.996 N N48 7
928.891 N N48 7
929.766 N N48 7
930.668 N N48 7
931.57 N N48 7
932.438 N N48 7
933.305 N N48 7
934.176 N N48 7
935.043 N N48 7
935.895 N N48 7
936.754 N N48 7
937.613 N N48 7
938.473 N N48 7
939.273 N N36 8
940.121 N N48 7
940.973 N N48 7
941.836 N N48 7
942.703 N N48 7
943.586 N N48 7
944.445 N N48 7
945.313 N N48 7
946.168 N N36 8
947.012 N N48 7
947.863 N N48 7
948.723 N N48 7
949.59 N N48 7
950.438 N N36 8
951.273 N N48 7
952.125 N N48 7
952.992 N N48 7
953.867 N N48 7
954.711 N N36 8
955.555 N N48 7
956.398 N N48 7
957.18 N N36 8
957.996 N N48 7
958.805 N N48 7
959.598 N N36 8
960.418 N N48 7
961.234 N N48 7
962.07 N N48 7
962.852 N N48 7
963.688 N N48 7
964.523 N N48 7
965.391 N N48 7
966.254 N N48 7
967.109 N N48 7
967.973 N N48 7
968.828 N N48 7
969.688 N N48 7
970.543 N N48 7
971.398 N N48 7
972.219 N N36 8
973.059 N N48 7
973.902 N N48 7
974.707 N N36 8
975.484 N N48 7
976.297 N N48 7
977.129 N N48 7
977.977 N N48 7
978.781 N N48 7
979.637 N N48 7
980.504 N N48 7
981.379 N N48 7
982.23 N N48 7
983.113 N N48 7
983.988 N N48 7
984.82 N N36 8
985.672 N N48 7
986.531 N N48 7
987.387 N N48 7
988.234 N N48 7
989.098 N N48 7
989.973 N N48 7
990.855 N N36 8
991.73 N N48 7
992.594 N N48 7
993.383 N N36 8
994.133 N N36 8
994.926 N N48 7
995.727 N N48 7
996.555 N N48 7
997.391 N N48 7
998.223 N N48 7
999.07 N N48 7
999.922 N N48 7
1000.777 N N48 7
1001.605 N N48 7
1002.449 N N48 7
1003.313 N N48 7
1004.172 N N48 7
1005.031 N N48 7
1005.863 N N36 8
1006.707 N N48 7
1007.551 N N48 7
1008.406 N N48 7
1009.266 N N48 7
1010.137 N N48 7
1011 N N36 8
1011.879 N N48 7
1012.734 N N36 8
1013.531 N N36 8
1014.352 N N48 7
1015.156 N N48 7
1015.98 N N48 7
1016.781 N N36 8
1017.531 N N36 8
1018.344 N N48 7
1019.16 N N48 7
1019.992 N N48 7
1020.828 N N48 7
1021.676 N N36 8
1022.52 N N48 7
1023.363 N N48 7
1024.188 N N36 8
1025.043 N N36 8
1025.891 N N48 7
1026.703 N N36 8
1027.555 N N48 7
1028.418 N N48 7
1029.289 N N48 7
1030.172 N N48 7
1030.992 N N48 7
1031.855 N N48 7
1032.711 N N48 7
1033.563 N N48 7
1034.398 N N48 7
1035.242 N N48 7
1036.082 N N48 7
1036.898 N N48 7
1037.754 N N48 7
1038.617 N N48 7
1039.48 N N48 7
1040.328 N N36 8
1041.191 N N48 7
1042.063 N N48 7
1042.922 N N48 7
1043.809 N N48 7
1044.719 N N48 7
1045.57 N N36 8
1046.379 N N36 8
1047.195 N N48 7
1048.012 N N36 8
1048.766 N N36 8
1049.496 N N36 8
1050.285 N N36 8
1051.035 N N36 8
1051.797 N N36 8
1052.582 N N36 8
1053.387 N N36 8
1054.23 N N36 8
1055.074 N N48 7
1055.918 N N36 8
1056.766 N N48 7
1057.625 N N48 7
1058.473 N N36 8
1059.293 N N48 7
1060.148 N N48 7
1060.996 N N36 8
1061.852 N N48 7
1062.719 N N36 8
1063.586 N N48 7
1064.434 N N36 8
1065.285 N N36 8
1066.145 N N48 7
1067.016 N N36 8
1067.898 N N48 7
1068.793 N N48 7
1069.688 N N48 7
1070.586 N N36 8
1071.477 N N48 7
1072.332 N N36 8
1073.176 N N48 7
1073.996 N N48 7
1074.805 N N48 7
1075.586 N N48 7
1076.434 N N48 7
1077.301 N N48 7
1078.168 N N36 8
1079.066 N N48 7
1079.984 N N48 7
1080.863 N N48 7
